complexity,loss,equation,score,sympy_format,lambda_format
1,1.2913195,2.367226,0.0,2.36722600000000,PySRFunction(X=>2.36722600000000)
3,0.6735165,3.4357746 / CH,0.3254536741813962,3.4357746/CH,PySRFunction(X=>3.4357746/CH)
5,0.4488999,2.5136738 / (CH - FC),0.2028562857078208,2.5136738/(CH - FC),PySRFunction(X=>2.5136738/(CH - FC))
7,0.37337774,((FC - CH) * 2.3525405) - -5.1840234,0.092104654022531,(-CH + FC)*2.3525405 - 1*(-5.1840234),PySRFunction(X=>(-CH + FC)*2.3525405 - 1*(-5.1840234))
9,0.34930187,(((FC / NDVIf) - CH) * 2.2403777) - -4.2677126,0.0333270548066545,(-CH + FC/NDVIf)*2.2403777 - 1*(-4.2677126),PySRFunction(X=>(-CH + FC/NDVIf)*2.2403777 - 1*(-4.2677126))
11,0.3346505,((-0.0060597803 / FC) + ((FC - CH) * 2.3635743)) - -5.242945,0.02142490085944037,(-CH + FC)*2.3635743 - 1*(-5.242945) - 0.0060597803/FC,PySRFunction(X=>(-CH + FC)*2.3635743 - 1*(-5.242945) - 0.0060597803/FC)
13,0.3030577,9.782876 / (((CH - GEMI) * ((CH - GEMI) / FC)) + 2.5802848),0.04958174361044101,9.782876/(2.5802848 + (CH - GEMI)*(CH - GEMI)/FC),PySRFunction(X=>9.782876/(2.5802848 + (CH - GEMI)*(CH - GEMI)/FC))
15,0.28265524,(53.22512 / ((((CH * CH) * CH) / (FC / CH)) + 14.269924)) + TDVI,0.0348476473222833,TDVI + 53.22512/(CH*CH*CH/((FC/CH)) + 14.269924),PySRFunction(X=>TDVI + 53.22512/(CH*CH*CH/((FC/CH)) + 14.269924))
17,0.2720763,(8.24726 / (((CH - GEMI) * ((CH - GEMI) * (CH / FC))) + 2.6576126)) + GBNDVI,0.019072690056706195,GBNDVI + 8.24726/(CH*(CH - GEMI)*(CH - GEMI)/FC + 2.6576126),PySRFunction(X=>GBNDVI + 8.24726/(CH*(CH - GEMI)*(CH - GEMI)/FC + 2.6576126))
19,0.25994626,GNDVI + (6.337427 / ((CH * (((CH - GEMI) * ((CH - GEMI) / FC)) - BNDVI)) + 3.0590875)),0.02280381216047465,GNDVI + 6.337427/(CH*(-BNDVI + (CH - GEMI)*(CH - GEMI)/FC) + 3.0590875),PySRFunction(X=>GNDVI + 6.337427/(CH*(-BNDVI + (CH - GEMI)*(CH - GEMI)/FC) + 3.0590875))
21,0.25291044,(7.142738 / ((((CH + NDWI) * ((CH / (FC / CH)) - TGI)) * (CH + NDWI)) + 2.6275668)) + 0.8649935,0.013719741690684815,0.8649935 + 7.142738/((CH + NDWI)*(CH + NDWI)*(CH/((FC/CH)) - TGI) + 2.6275668),PySRFunction(X=>0.8649935 + 7.142738/((CH + NDWI)*(CH + NDWI)*(CH/((FC/CH)) - TGI) + 2.6275668))
23,0.23115836,IPVI + (5.7954264 / (((CH - (NDVIf / 0.4944055)) * (((CH + -0.62935746) * ((CH * CH) / FC)) - TGI)) + 2.3743448)),0.04496620859565545,IPVI + 5.7954264/((CH - NDVIf/0.4944055)*(CH*CH*(CH - 0.62935746)/FC - TGI) + 2.3743448),PySRFunction(X=>IPVI + 5.7954264/((CH - NDVIf/0.4944055)*(CH*CH*(CH - 0.62935746)/FC - TGI) + 2.3743448))
25,0.22696526,(5.6781616 / (((((NDGlaI + (CH * (CH + VgNIRBI))) / (FC / CH)) - TGI) * (CH - (NDVIf / 0.49960852))) + 2.3572206)) + IPVI,0.009153025324646038,IPVI + 5.6781616/((CH - NDVIf/0.49960852)*(-TGI + (CH*(CH + VgNIRBI) + NDGlaI)/((FC/CH))) + 2.3572206),PySRFunction(X=>IPVI + 5.6781616/((CH - NDVIf/0.49960852)*(-TGI + (CH*(CH + VgNIRBI) + NDGlaI)/((FC/CH))) + 2.3572206))
27,0.2172374,(1.2477093 / ((((CH * (CH / (FC / (CH + -0.46166283)))) - TGI) / ((NDDI / ((c_depth - NIRv) / FC)) / CH)) + 0.5147127)) + 1.046616,0.02190310067849901,1.046616 + 1.2477093/(0.5147127 + (CH*CH/((FC/(CH - 0.46166283))) - TGI)/((NDDI/(CH*(((-NIRv + c_depth)/FC)))))),PySRFunction(X=>1.046616 + 1.2477093/(0.5147127 + (CH*CH/((FC/(CH - 0.46166283))) - TGI)/((NDDI/(CH*(((-NIRv + c_depth)/FC)))))))
29,0.21269946,TVI + (1.9811676 / ((((CH * (CH / (FC / (CH + -0.45855752)))) - TGI) / (NDDI * (NLI / (((c_depth - NIRv) * CH) / FC)))) + 0.84759265)),0.010555290674560474,TVI + 1.9811676/(0.84759265 + (CH*CH/((FC/(CH - 0.45855752))) - TGI)/((NDDI*NLI/((CH*(-NIRv + c_depth)/FC))))),PySRFunction(X=>TVI + 1.9811676/(0.84759265 + (CH*CH/((FC/(CH - 0.45855752))) - TGI)/((NDDI*NLI/((CH*(-NIRv + c_depth)/FC))))))
31,0.18761125,0.996483 + (2.3249657 / (BNDVI + ((((CH * CH) / FC) - (0.6573305 / (IKAW + -0.47451025))) / ((NIRv * (NDDI / ((c_depth - NIRv) / FC))) / (CH + -0.67643213))))),0.0627540903123863,0.996483 + 2.3249657/(BNDVI + (CH*CH/FC - 0.6573305/(IKAW - 0.47451025))/((NDDI*NIRv/((((-NIRv + c_depth)/FC))*(CH - 0.67643213))))),PySRFunction(X=>0.996483 + 2.3249657/(BNDVI + (CH*CH/FC - 0.6573305/(IKAW - 0.47451025))/((NDDI*NIRv/((((-NIRv + c_depth)/FC))*(CH - 0.67643213))))))
33,0.17753153,(2.2567348 / (BNDVI + (((CH * (CH / (FC / CH))) - (1.2760913 / (-0.43788788 + IKAW))) / ((NDDI * (NLI / ((c_depth - NIRv) / FC))) / (CH + -0.65194803))))) + 1.0304337,0.02761188792395039,1.0304337 + 2.2567348/(BNDVI + (CH*CH/((FC/CH)) - 1.2760913/(IKAW - 0.43788788))/((NDDI*NLI/((((-NIRv + c_depth)/FC))*(CH - 0.65194803))))),PySRFunction(X=>1.0304337 + 2.2567348/(BNDVI + (CH*CH/((FC/CH)) - 1.2760913/(IKAW - 0.43788788))/((NDDI*NLI/((((-NIRv + c_depth)/FC))*(CH - 0.65194803))))))
35,0.17437246,(2.2368286 / (BNDVI + ((((CH * CH) / (FC / CH)) - (1.4025458 / (IKAW + -0.42089927))) / (NLI * ((NDDI / ((c_depth - NIRv) / FC)) / ((NDSII * GARI) + CH)))))) + 1.0404437,0.0089773203909874,1.0404437 + 2.2368286/(BNDVI + (CH*CH/((FC/CH)) - 1.4025458/(IKAW - 0.42089927))/((NDDI*NLI/((((-NIRv + c_depth)/FC))*(CH + GARI*NDSII))))),PySRFunction(X=>1.0404437 + 2.2368286/(BNDVI + (CH*CH/((FC/CH)) - 1.4025458/(IKAW - 0.42089927))/((NDDI*NLI/((((-NIRv + c_depth)/FC))*(CH + GARI*NDSII))))))
37,0.1718767,TVI + (2.1662953 / (((((CH * CH) / (FC / CH)) - (1.9293336 / (IKAW + -0.34577826))) / ((NDDI * (NLI / (((IKAW - -0.6727523) * (c_depth - NIRv)) / FC))) / (CH + -0.6613692))) + BNDVI)),0.00720811344014241,TVI + 2.1662953/(BNDVI + (CH*CH/((FC/CH)) - 1.9293336/(IKAW - 0.34577826))/((NDDI*NLI/((((IKAW - 1*(-0.6727523))*(-NIRv + c_depth)/FC))*(CH - 0.6613692))))),PySRFunction(X=>TVI + 2.1662953/(BNDVI + (CH*CH/((FC/CH)) - 1.9293336/(IKAW - 0.34577826))/((NDDI*NLI/((((IKAW - 1*(-0.6727523))*(-NIRv + c_depth)/FC))*(CH - 0.6613692))))))
39,0.16556671,(((BCC + 0.38803244) / (((((CH * CH) / (FC / CH)) - ((TGI / CH) / (NDYI + -0.32053435))) / (NDDI / (((c_depth - NIRv) / FC) / (NLI / (CH + -0.6562961))))) + 1.0874854)) + 0.19774917) * 5.2733,0.018701582054225077,(0.19774917 + (BCC + 0.38803244)/(1.0874854 + (CH*CH/((FC/CH)) - TGI/(CH*(NDYI - 0.32053435)))/((NDDI/(((-NIRv + c_depth)/(FC*((NLI/(CH - 0.6562961))))))))))*5.2733,PySRFunction(X=>(0.19774917 + (BCC + 0.38803244)/(1.0874854 + (CH*CH/((FC/CH)) - TGI/(CH*(NDYI - 0.32053435)))/((NDDI/(((-NIRv + c_depth)/(FC*((NLI/(CH - 0.6562961))))))))))*5.2733)
41,0.16252653,5.5869846 * (((BCC + 0.37848103) / ((((CH * (CH / (FC / CH))) - ((TGI / CH) / (-0.32758304 + NDYI))) / (NDDI / ((((c_depth - NIRv) / FC) / (NLI / (CH + -0.6550139))) + 0.16866593))) + 1.1488384)) + 0.18690895),0.009266472595011305,5.5869846*(0.18690895 + (BCC + 0.37848103)/(1.1488384 + (CH*CH/((FC/CH)) - TGI/(CH*(NDYI - 0.32758304)))/((NDDI/(0.16866593 + (-NIRv + c_depth)/(FC*((NLI/(CH - 0.6550139))))))))),PySRFunction(X=>5.5869846*(0.18690895 + (BCC + 0.37848103)/(1.1488384 + (CH*CH/((FC/CH)) - TGI/(CH*(NDYI - 0.32758304)))/((NDDI/(0.16866593 + (-NIRv + c_depth)/(FC*((NLI/(CH - 0.6550139))))))))))
43,0.16034724,((((CH * BCC) + 0.1703868) / (((((CH * CH) / (FC / CH)) - (2.2103035 / (NDYI + -0.3426918))) / (NDDI / ((((c_depth - FCVI) / FC) / (NLI / (CH + -0.6590647))) + NIR))) + (0.43197832 + NDVIf))) + 0.13368088) * 7.71081,0.006749768169749054,((BCC*CH + 0.1703868)/(NDVIf + 0.43197832 + (CH*CH/((FC/CH)) - 2.2103035/(NDYI - 0.3426918))/((NDDI/(NIR + (-FCVI + c_depth)/(FC*((NLI/(CH - 0.6590647)))))))) + 0.13368088)*7.71081,PySRFunction(X=>((BCC*CH + 0.1703868)/(NDVIf + 0.43197832 + (CH*CH/((FC/CH)) - 2.2103035/(NDYI - 0.3426918))/((NDDI/(NIR + (-FCVI + c_depth)/(FC*((NLI/(CH - 0.6590647)))))))) + 0.13368088)*7.71081)
45,0.15379198,((VrNIRBI * -0.18140231) + (((CH * BCC) + 0.13483727) / (((((CH * (CH / (FC / CH))) - (2.1893857 / (NDYI + -0.3470043))) / (NDDI / ((((c_depth - FCVI) / FC) / (NLI / (CH + -0.6618995))) + 0.51082313))) + 0.33492035) + NDVIf))) * 7.6129403,0.020870401787410935,(VrNIRBI*(-0.18140231) + (BCC*CH + 0.13483727)/(NDVIf + 0.33492035 + (CH*CH/((FC/CH)) - 2.1893857/(NDYI - 0.3470043))/((NDDI/(0.51082313 + (-FCVI + c_depth)/(FC*((NLI/(CH - 0.6618995)))))))))*7.6129403,PySRFunction(X=>(VrNIRBI*(-0.18140231) + (BCC*CH + 0.13483727)/(NDVIf + 0.33492035 + (CH*CH/((FC/CH)) - 2.1893857/(NDYI - 0.3470043))/((NDDI/(0.51082313 + (-FCVI + c_depth)/(FC*((NLI/(CH - 0.6618995)))))))))*7.6129403)
47,0.15205227,(((((BCC * CH) + 0.119954206) / ((NDVIf + ((((CH / (FC / CH)) * CH) - (2.171753 / (NDYI + -0.3516212))) / (NDDI / ((((c_depth - FCVI) / FC) / (NLI / (CH + -0.66475844))) + 0.5039245)))) + 0.2527182)) - 0.1266971) + (VrNIRBI * -0.36137635)) * 7.1024036,0.005688283378356944,(VrNIRBI*(-0.36137635) + (BCC*CH + 0.119954206)/(NDVIf + 0.2527182 + (CH*CH/((FC/CH)) - 2.171753/(NDYI - 0.3516212))/((NDDI/(0.5039245 + (-FCVI + c_depth)/(FC*((NLI/(CH - 0.66475844)))))))) - 1*0.1266971)*7.1024036,PySRFunction(X=>(VrNIRBI*(-0.36137635) + (BCC*CH + 0.119954206)/(NDVIf + 0.2527182 + (CH*CH/((FC/CH)) - 2.171753/(NDYI - 0.3516212))/((NDDI/(0.5039245 + (-FCVI + c_depth)/(FC*((NLI/(CH - 0.66475844)))))))) - 1*0.1266971)*7.1024036)
49,0.15077248,(((((BCC * CH) + 0.24366164) / ((NDVIf + ((((CH * CH) / (FC / CH)) - ((TGI / 1.4508982) / (NDYI + -0.32921335))) / (NDDI / ((((c_depth - FCVI) / FC) / (NLI / (-0.6564026 + CH))) + 0.39774364)))) + 0.3039532)) + -0.23646058) + (NDWI * -0.63558906)) * 4.845963,0.004226198880145432,(NDWI*(-0.63558906) + (BCC*CH + 0.24366164)/(NDVIf + 0.3039532 + (CH*CH/((FC/CH)) - TGI/(1.4508982*(NDYI - 0.32921335)))/((NDDI/(0.39774364 + (-FCVI + c_depth)/(FC*((NLI/(CH - 0.6564026)))))))) - 0.23646058)*4.845963,PySRFunction(X=>(NDWI*(-0.63558906) + (BCC*CH + 0.24366164)/(NDVIf + 0.3039532 + (CH*CH/((FC/CH)) - TGI/(1.4508982*(NDYI - 0.32921335)))/((NDDI/(0.39774364 + (-FCVI + c_depth)/(FC*((NLI/(CH - 0.6564026)))))))) - 0.23646058)*4.845963)
